alu	?Are?are
cug	Cung
cup	Cupe?o
xcu	Curonian
kpc	Curripaco
ccl	Cutchi-Swahili
cuv	Cuvok
xtu	Cuyamecalco Mixtec
cyo	Cuyunon
bwy	Cwi Bwamu
acy	Cypriot Arabic
cs	Czech
cse	Czech Sign Language
kzf	Da'a Kaili
dao	Daai Chin
lni	Daantanai'
dsh	Daasanach
dbq	Daba
dbr	Dabarre
dbe	Dabe
xdc	Dacian
mps	Dadibi
dbd	Dadiya
dgz	Daga
dgd	Dagaari Dioula
dgk	Dagba
dag	Dagbani
dec	Dagik
dgn	Dagoman
dlk	Dahalik
dal	Dahalo
das	Daho-Doo
dij	Dai
zhd	Dai Zhuang
drb	Dair
btd	Dairi Batak
bpa	Dakaka
dkk	Dakka
dak	Dakota
dka	Dakpakha
dlm	Dalmatian
bev	Daloa B?t?
dmm	Dama
dam	Damakawa
uhn	Damal
dac	Dambi
dml	Dameli
dms	Dampelas
dnj	Dan
dnr	Danaru
dnu	Danau
daq	Dandami Maria
daa	Dangal?at
thl	Dangaura Tharu
da	Danish
dsl	Danish Sign Language
aso	Dano
dnv	Danu
dhw	Danuwar
daz	Dao
dnd	Daonda
djc	Dar Daju Daju
daj	Dar Fur Daju
dau	Dar Sila Daju
dry	Darai
dar	Dargwa
xda	Darkinjung
dln	Darlong
drd	Darmiya
dro	Daro-Matu Melanau
xgm	Darumbal
dot	Dass
tcc	Datooga
dta	Daur
daw	Davawenyo
kwa	D?w
dww	Dawawa
ddw	Dawera-Daweloor
dwr	Dawro
dai	Day
dax	Dayi
dzd	Daza
dzg	Dazaga
dcc	Deccan
ded	Dedua
afn	Defaka
gbh	Defi Gbe
mzw	Deg
ing	Deg Xinag
dgu	Degaru
deg	Degema
dge	Degenan
deh	Dehwari
dek	Dek
row	Dela-Oenale
ntr	Delo
dem	Dem
dmx	Dema
dei	Demisa
dmy	Demta
tfn	Dena'ina
ddn	Dendi
dez	Dengese
dnk	Dengka
dny	Den?
dbb	Deno
anv	Denya
der	Deori
des	Desano
dso	Desiya
dee	Dewoin
def	Dezfuli
dgh	Dghwede
dhs	Dhaiso
dhl	Dhalandji
dhg	Dhangu
dhn	Dhanki
nfa	Dhao
xdk	Dharug
mki	Dhatki
dhi	Dhimal
dv	Dhivehi
dho	Dhodia
adf	Dhofari Arabic
ddr	Dhudhuroa
dhx	Dhungaloo
dhu	Dhurga
duj	Dhuwal
dia	Dia
mbd	Dibabawon Manobo
dby	Dibiyaso
dio	Dibo
bvx	Dibole
duy	Dicamay Agta
did	Didinga
dif	Dieri
mhu	Digaro-Mishmi
dur	Dii
cfa	Dijim-Bwilim
dil	Dilling
jma	Dima
dis	Dimasa
dii	Dimbong
dim	Dime
dmc	Dimir
mrx	Dineor
diz	Ding
din	Dinka
ddi	Diodio
gdl	Dirasha
dwa	Diri
dir	Dirim
dsi	Disa
tbz	Ditammari
dtd	Ditidaht
diu	Diudish
diy	Diuwe
xtd	Diuxi-Tilantongo Mixtec
dix	Dixon Reef
mdx	Dizin
djr	Djambarrpuyngu
djd	Djamindjung
djf	Djangun
djn	Djauan
djw	Djawi
djj	Djeebbana
dyi	Djimini Senoufo
dji	Djinang
djb	Djinba
djl	Djiwarli
kvo	Dobel
dob	Dobu
doe	Doe
dgg	Doga
dgx	Doghoro
dos	Dogos?
dgs	Dogoso
doi	Dogri
dgr	Dogrib
dbg	Dogul Dom Dogon
dbi	Doka
uya	Doko-Uyanga
dlg	Dolgan
dre	Dolpo
doa	Dom
dmk	Domaaki
rmt	Domari
dov	Dombe
doq	Dominican Sign Language
doy	Dompo
dof	Domu
dev	Domung
dok	Dondo
doh	Dong
doo	Dongo
kzh	Dongolawi
ddd	Dongotono
yik	Dongshanba Lalo
sce	Dongxiang
dds	Donno So Dogon
dde	Doondo
dor	Dori'o
wwo	Dorig
kqc	Doromu-Koki
drr	Dororo
doz	Dorze
dol	Doso
don	Doura
tds	Doutai
dow	Doyayo
dhv	Drehu
duu	Drung
dua	Duala
dup	Duano
dva	Duau
dub	Dubli
dmu	Dubu
ndu	Dugun
dbm	Duguri
dme	Dugwor
kbz	Duhwa
dud	Duka
nke	Duke
dbo	Dulbu
duz	Duli
dma	Duma
duf	Dumbea
dus	Dumi
dmv	Dumpas
dui	Dumun
duc	Duna
dng	Dungan
raa	Dungmali
duh	Dungra Bhil
dbv	Dungu
duo	Dupaninan Agta
drq	Dura
mvp	Duri
dbn	Duriankere
pci	Duruwa
dsn	Dusner
dun	Dusun Deyah
duq	Dusun Malang
duw	Dusun Witu
nl	Dutch
nds-nl	Dutch Low Saxon
dse	Dutch Sign Language
dux	Duungooma
dae	Duupa
duv	Duvle
dbp	Duwai
gve	Duwet
nnu	Dwang
dyy	Dyaabugay
dyb	Dyaberdyaber
dya	Dyan
dyn	Dyangadi
dbl	Dyirbal
dyd	Dyugun
dyu	Dyula
jen	Dza
dzl	Dzalakha
dzn	Dzando
bpn	Dzao Min
add	Dzodinka
dz	Dzongkha
dnn	Dz??ngoo
eee	E
yzg	E'ma Buyang
xtr	Early Tripuri
zbe	East Berawan
dmr	East Damar
fud	East Futuna
kjs	East Kewa
lma	East Limba
mky	East Makian
vme	East Masela
nle	East Nyala
tre	East Tarangan
yuy	East Yugur
acp	Eastern Acipa
aer	Eastern Arrernte
bgp	Eastern Balochi
gui	Eastern Bolivian Guaran?
ebk	Eastern Bontok
bru	Eastern Bru
ike	Eastern Canadian Inuktitut
cjm	Eastern Cham
azd	Eastern Durango Nahuatl
avl	Eastern Egyptian Bedawi Arabic
frs	Eastern Frisian
tge	Eastern Gorkha Tamang
ggn	Eastern Gurung
cly	Eastern Highland Chatino
otm	Eastern Highland Otomi
zeh	Eastern Hongshuihe Zhuang
nhe	Eastern Huasteca Nahuatl
hme	Eastern Huishui Hmong
xrb	Eastern Karaboro
ktv	Eastern Katu
eky	Eastern Kayah
kee	Eastern Keres
kqo	Eastern Krahn
yit	Eastern Lalu
lwl	Eastern Lawa
mgp	Eastern Magar
emk	Eastern Maninkakan
chm	Eastern Mari
emg	Eastern Meohang
mng	Eastern Mnong
emu	Eastern Muria
nea	Eastern Ngad'a
nos	Eastern Nisu
ojg	Eastern Ojibwa
kif	Eastern Parbate Kham
pez	Eastern Penan
peb	Eastern Pomo
hmq	Eastern Qiandong Miao
taj	Eastern Tamang
bnj	Eastern Tawbuid
muq	Eastern Xiangxi Miao
gbx	Eastern Xwla Gbe
igb	Ebira
xeb	Eblaite
ebr	Ebri?
ebg	Ebughu
ecs	Ecuadorian Sign Language
cbj	Ede Cabe
ica	Ede Ica
idd	Ede Idaca
ijj	Ede Ije
nqg	Ede Nago
awy	Edera Awyu
bin	Edo
etr	Edolo
xdm	Edomite
dbf	Edopi
efa	Efai
efe	Efe
efi	Efik
ofu	Efutop
ega	Ega
ego	Eggon
egy	Egyptian
arz	Egyptian Arabic
esl	Egyptian Sign Language
ehu	Ehueun
eip	Eipomek
eit	Eitiep
etu	Ejagham
eja	Ejamat
eka	Ekajuk
ekg	Ekari
khy	Ekele
eki	Eki
eke	Ekit
ekp	Ekpeye
zpp	El Alto Zapotec
elh	El Hugeirat
elo	El Molo
elx	Elamite
elm	Eleme
ele	Elepi
dlc	Elfdalian
ekm	Elip
elk	Elkei
art-elo	Eloi
zte	Elotepec Zapotec
afo	Eloyi
mrf	Elseng
elu	Elu
xly	Elymian
mmw	Emae
ema	Emai
emn	Eman
emb	Embaloh
bdc	Ember?-Baud?
cto	Ember?-Cat?o
cmi	Ember?-Cham?
tdc	Ember?-Tad?
ebu	Embu
enr	Emem
eme	Emerillon
egl	Emilian
emw	Emplawas
enc	En
unk	Enawen?-Naw?
end	Ende
enq	Enga
enn	Engenni
eno	Enggano
en	English
enl	Enlhet
ptt	Enrekang
enu	Enu
env	Enwan
enw	Enwang
enx	Enxet
gey	Enya
sja	Epena
xep	Epi-Olmec
epi	Epie
emy	Epigraphic Mayan
era	Eravallan
kjy	Erave
twp	Ere
ert	Eritai
erw	Erokwanas
err	Erre
emx	Erromintxela
ers	Ersu
erh	Eruwa
myv	Erzya
ish	Esan
mcq	Ese
ese	Ese Ejja
esh	Eshtehardi
ags	Esimbi
eo	Esperanto
esq	Esselen
ots	Estado de M?xico Otomi
et	Estonian
eso	Estonian Sign Language
esm	Esuma
etc	Etchemin
etb	Etebi
etx	Eten
ecr	Eteocretan
ecy	Eteocypriot
eth	Ethiopian Sign Language
ich	Etkywan
eto	Eton (Cameroon)
etn	Eton (Vanuatu)
ett	Etruscan
utr	Etulo
bzz	Evant
eve	Even
evn	Evenki
nou	Ewage-Notu
ee	Ewe
ewo	Ewondo
ext	Extremaduran
eya	Eyak
eza	Ezaa
faf	Fagani
azt	Faire Atta
faj	Faita
fai	Faiwol
gel	Fakkanci
fax	Fala
cfm	Falam Chin
fli	Fali
xfa	Faliscan
fam	Fam
fng	Fanagalo
bjp	Fanamaket
fak	Fang (Cameroon)
fan	Fang (Guinea)
fni	Fania
fat	Fanti
fmu	Far Western Muria
gur	Farefare
fo	Faroese
fqs	Fas
faa	Fasu
far	Fataleka
ddg	Fataluku
fau	Fayu
fmp	Fe'fe'
pdn	Fedan
agl	Fembe
kah	Fer
fer	Feroge
hif	Fiji Hindi
fj	Fijian
tlp	Filomena Mata-Coahuitl?n Totonac
yuw	Finisterre Yau
fi	Finnish
fse	Finnish Sign Language
fss	Finnish-Swedish Sign Language
fag	Finongan
fip	Fipa
fir	Firan
fiw	Fiwaga
vgt	Flemish Sign Language
fln	Flinders Island
flh	Foau
foi	Foi
ffi	Foia Foia
ppo	Folopa
fom	Foma
fon	Fon
fgr	Fongoro
fod	Foodo
frq	Forak
frd	Fordata
for	Fore
enf	Forest Enets
frt	Fortsenal
sac	Fox
zos	Francisco Le?n Zoque
frp	Franco-Proven?al
frk	Frankish
fr	French
sfb	French Belgian Sign Language
fsl	French Sign Language
fur	Friulian
ff	Fula
flr	Fuliiru
fun	Fulni?
fum	Fum
ula	Fungwa
fvr	Fur
fuu	Furu
fut	Futuna-Aniwa
fuy	Fuyug
fwa	Fw?i
fwe	Fwe
pym	Fyam
fie	Fyer
gaa	Ga
gqa	Ga'anda
gdg	Ga'dang
ttb	Gaa
tbi	Gaam
kbt	Gabadi
gbw	Gabi
gab	Gabri
xgf	Gabrielino-Fernande?o
gdk	Gadang
gad	Gaddang
gbk	Gaddi
ged	Gade
gda	Gade Lohar
gdh	Gadjerawang
gaj	Gadsup
gft	Gafat
gbu	Gagadu
gag	Gagauz
btg	Gagnoa B?t?
bfu	Gahri
gbf	Gaikundi
gic	Gail
gcn	Gaina
gap	Gal
glo	Galambu
xga	Galatian
gbi	Galela
gar	Galeya
car	Galibi Carib
gce	Galice
gl	Galician
xgl	Galindan
roa-gal	Gallo
sdn	Gallurese Sardinian
adl	Galo
gal	Galoli
kmc	Gam
kgj	Gamale Kham
gma	Gambera
wof	Gambian Wolof
kld	Gamilaraay
gbl	Gamit
gak	Gamkonora
gmv	Gamo
bte	Gamo-Ningi
gan	Gan
gnq	Gana
gne	Ganang
gzn	Gane
gcd	Ganggalida
ggl	Ganglau
gnb	Gangte
gnl	Gangulu
gao	Gants
gza	Ganza
gnz	Ganzi
gga	Gao
pwg	Gapapaiwa
wrk	Garawa
gbm	Garhwali
cab	Garifuna
xgi	Garingbal
grt	Garo
gex	Garre
gyb	Garus
xgr	Garza
gaq	Gata'
cel-gau	Gaulish
gou	Gavar
gvo	Gavi?o Do Jiparan?
gwt	Gawar-Bati
gwd	Gawwada
gyl	Gayil
gay	Gayo
gzi	Gazi
gbr	Gbagyi
ggu	Gban
gbv	Gbanu
gbg	Gbanziri
gby	Gbari
gti	Gbati-ri
gba	Gbaya
gbp	Gbaya-Bossangoa
gbq	Gbaya-Bozoum
gmm	Gbaya-Mbodomo
gyg	Gbayi
gbs	Gbesi Gbe
ggb	Gbii
xgb	Gbin
grh	Gbiri-Niragu
gec	Gboloo Grebo
gwj	Gcwi
hmj	Ge
gez	Ge'ez
kvq	Geba Karen
gei	Gebe
gdd	Gedaged
drs	Gedeo
gji	Geji
ghk	Geko Karen
nlg	Gela
gio	Gelao
sbc	Gele'
geq	Geme
gej	Gen
gaf	Gende
geg	Gengle
ka	Georgian
ygp	Gepo
gew	Gera
gek	Gerka
de	German
nds-de	German Low German
gsg	German Sign Language
gea	Geruma
ges	Geser-Gorom
guv	Gey
gha	Ghadames
gse	Ghanaian Sign Language
gds	Ghandruk Sign Language
ghn	Ghanongga
gri	Ghari
bmk	Ghayavi
aln	Gheg Albanian
ghr	Ghera
bbj	Ghom?l?'
gho	Ghomara
aaa	Ghotuo
ghl	Ghulfan
bgi	Giangan
gib	Gibanawa
gid	Gidar
acd	Gikyode
glk	Gilaki
gil	Gilbertese
gix	Gilima
kmp	Gimme
gmn	Gimnime
gnm	Ginuman
ayg	Ginyanga
bbr	Girawa
nyf	Giryama
gih	Githabul
toh	Gitonga
ggt	Gitua
git	Gitxsan
giy	Giyug
tof	Gizrra
glr	Glaro-Twabo
glw	Glavda
oub	Glio-Oubi
igs	Glosa
gnu	Gnau
art-gld	Goa'uld
gig	Goaria
goi	Gobasi
gox	Gobu
god	Godi?
gdo	Godoberi
gdx	Godwari
ank	Goemai
gof	Gofa
gog	Gogo
ggw	Gogodala
zkg	Goguryeo
gju	Gojri
gkn	Gokana
gol	Gola
gvf	Golin
lja	Golpa
gon	Gondi
goo	Gone Dau
goe	Gongduk
gjn	Gonja
gni	Gooniyandi
gqr	Gor
goc	Gorakor
goq	Gorap
xgg	Goreng
gor	Gorontalo
grq	Gorovu
gow	Gorowa
got	Gothic
goy	Goundo
gux	Gourmanch?ma
goj	Gowlan
gok	Gowli
gwf	Gowro
goz	Gozarkhani
nli	Grangali
kbk	Grass Koiari
grb	Grebo
el	Greek
gss	Greek Sign Language
giq	Green Gelao
hnj	Green Hmong
kl	Greenlandic
crp-gep	Greenlandic Eskimo Pidgin
gcl	Grenadian Creole English
grs	Gresi
gro	Groma
ats	Gros Ventre
gwx	Gua
guh	Guahibo
gvj	Guaj?
gub	Guajaj?ra
gum	Guambiano
gvc	Guanano
gnc	Guanche
jiq	Guanyinqiao
gn	Guaran?
gyr	Guarayu
gsm	Guatemalan Sign Language
gta	Guat?
guo	Guayabero
xgd	Gudang
nji	Gudanji
gde	Gude
gdu	Gudu
gdf	Guduf-Gava
roa-grn	Guern?siais
ngu	Guerrero Nahuatl
zpg	Guevea De Humboldt Zapotec
ggd	Gugadj
gdc	Gugu Badhun
wrw	Gugu Warra
ghs	Guhu-Samane
gcr	Guianese Creole
zgb	Guibei Zhuang
bet	Guiberoua B?te
zgn	Guibian Zhuang
gkp	Guinea Kpelle
gus	Guinean Sign Language
gqi	Guiqiong
gu	Gujarati
glu	Gula
gmb	Gula'alaa
gvl	Gulay
gly	Gule
afb	Gulf Arabic
gli	Guliguli
gul	Gullah
gmu	Gumalu
gnn	Gumatj
gvs	Gumawana
guk	Gumuz
guw	Gun
gdi	Gundi
gjm	Gunditjmara
xrd	Gundungurra
gyf	Gungabula
rub	Gungu
gnt	Guntai
yas	Gunu
gup	Gunwinggu
gyy	Gunya
gpa	Gupa-Abawa
guf	Gupapuyngu
las	Gur Lama
gge	Guragone
grz	Guramalum
hac	Gurani
gnr	Gureng Gureng
ggg	Gurgula
grx	Guriaso
gue	Gurindji
gvm	Gurmana
goa	Guro
grd	Guruntum
gsn	Gusan
guz	Gusii
gsl	Gusilay
gmq-gut	Gutnish
kky	Guugu Yimidhirr
xgw	Guwa
gwu	Guwamu
gka	Guya
gyn	Guyanese Creole English
gvy	Guyani
ngs	Gvoko
gwb	Gwa
dah	Gwahatike
bga	Gwamhi-Wuri
gwn	Gwandara
grw	Gweda
gwe	Gweno
gwr	Gwere
gwi	Gwich'in
gyi	Gyele
gye	Gyem
haq	Ha
hbu	Habu
hdy	Hadiyya
hoj	Hadothi
xhd	Hadrami
ayh	Hadrami Arabic
hts	Hadza
aek	Haeke
hah	Hahon
hai	Haida
hgw	Haigwai
bzx	Hainyaxo Bozo
haf	Haiphong Sign Language
has	Haisla
ht	Haitian Creole
hvc	Haitian Vodoun Culture Language
hgm	Hai?om
hji	Haji
haj	Hajong
hak	Hakka
hao	Hak?
hal	Halang
hld	Halang Doan
hlb	Halbi
hla	Halia
hur	Halkomelem
hmu	Hamap
hba	Hamba
amf	Hamer-Banna
hmt	Hamtai
haa	Han
hag	Hanga
wos	Hanga Hundi
han	Hangaza
hni	Hani
lml	Hano
hab	Hanoi Sign Language
hnn	Hanunoo
xha	Harami
har	Harari
kjo	Harijan Kinnauri
hro	Haroi
hss	Harsusi
tmd	Haruai
hrk	Haruku
bgc	Haryanvi
hrz	Harzani
ybj	Hasha
mey	Hassaniya
had	Hatam
xht	Hattic
ha	Hausa
hsl	Hausa Sign Language
yuf	Havasupai-Walapai-Yavapai
hvk	Haveke
hav	Havu
hps	Hawai'i Pidgin Sign Language
haw	Hawaiian
hay	Haya
haz	Hazaragi
xed	Hdi
he	Hebrew
heh	Hehe
hbn	Heiban
hei	Heiltsuk
scp	Helambu Sherpa
heg	Helong
nix	Hema
hem	Hemba
hed	Herd?
hz	Herero
llf	Hermit
xhr	Hernican
hrt	H?rtevin
ham	Hewa
auk	Heyo
hib	Hibito
hid	Hidatsa
mba	Higaonon
kjk	Highland Konjo
chd	Highland Oaxaca Chontal
poi	Highland Popoluca
azz	Highland Puebla Nahuatl
tos	Highland Totonac
acw	Hijazi Arabic
hij	Hijuk
hil	Hiligaynon
mrr	Hill Maria
hir	Himarim?
hi	Hindi
dgo	Hindi Dogri
hii	Hinduri
gin	Hinukh
ho	Hiri Motu
hit	Hittite
htu	Hitu
hiw	Hiw
hix	Hixkaryana
lic	Hlai
yhl	Hlepho Phowa
hle	Hlersu
hmr	Hmar
hmv	Hmong D?
hmf	Hmong Don
hmz	Hmong Shua
mrk	Hmwaveke
hoc	Ho
hos	Ho Chi Minh City Sign Language
hoa	Hoava
hoh	Hoby?t
hhi	Hoia Hoia
hoi	Holikachuk
hoy	Holiya
hod	Holma
hoo	Holoholo
hol	Holu
hom	Homa
len	Honduran Lenca
hds	Honduras Sign Language
juh	H?ne
hks	Hong Kong Sign Language
how	Honi
hop	Hopi
hrm	Horned Miao
hor	Horo
hoe	Horom
ero	Horpa
hot	Hote
hti	Hoti
hov	Hovongan
hhy	Hoyahoya
hoz	Hozo
hpo	Hpon
hra	Hrangkhol
hre	Hre
hru	Hruso
huo	Hu
hug	Huachipaeri
hub	Huambisa
auc	Huaorani
var	Huarijio
hud	Huaulu
mau	Huautla Mazatec
huv	Huave
nhq	Huaxcaleca Nahuatl
hbb	Huba
tee	Huehuetla Tepehua
hch	Huichol
huh	Huilliche
mxs	Huitepec Mixtec
czh	Huizhou
huw	Hukumina
hul	Hula
huy	Hulaul?
hui	Huli
huk	Hulung
hmb	Humburi Senni Songhay
huf	Humene
hut	Humla
hke	Hunde
hnu	Hung
hum	Hungana
hu	Hungarian
hsh	Hungarian Sign Language
nat	Hungworo
hkk	Hunjara-Kaina Ke
xhc	Hunnic
hrx	Hunsrik
huz	Hunzib
hup	Hupa
jup	Hupd?
hap	Hupla
xhu	Hurrian
geh	Hutterisch
hwo	Hwana
hya	Hya
jab	Hyam
iwk	I-Wak
iai	Iaai
yml	Iamalele
iap	Iapama
ian	Iatmul
tmu	Iau
tek	Ibali Teke
ibl	Ibaloi
iba	Iban
ibg	Ibanag
iby	Ibani
ivb	Ibatan
xib	Iberian
ibb	Ibibio
ibn	Ibino
bkp	Iboko
ibu	Ibu
ibr	Ibuoro
is	Icelandic
icl	Icelandic Sign Language
bec	Iceve-Maci
dbj	Ida'an
ida	Idakho-Isukha-Tiriki
idt	Idat?
ide	Idere
ids	Idesa
idi	Idi
io	Ido
idu	Idoma
idc	Idon
clk	Idu-Mishmi
ldb	Idun
viv	Iduna
ife	If?
iff	Ifo
igl	Igala
igg	Igana
ig	Igbo
ige	Igede
ign	Ignaciano
ahl	Igo
nar	Iguta
igw	Igwe
ihp	Iha
ihb	Iha Based Pidgin
ihi	Ihievbe
vki	Ija-Zuba
ikx	Ik
ikk	Ika
ikr	Ikaranggal
ikz	Ikizu
iki	Iko
meb	Ikobi-Mena
ntk	Ikoma
koq	Ikota
txi	Ikpeng
ikp	Ikpeshi
kpo	Ikposo
ikv	Iku-Gora-Ankwa
ikl	Ikulu
ikw	Ikwere
iqw	Ikwo
ilb	Ila
ila	Ile Ape
ilg	Ilgar
ili	Ili Turki
ilu	Ili'uun
mbi	Ilianen Manobo
xil	Illyrian
ilo	Ilocano
ilk	Ilongot
ilv	Ilue
mlk	Ilwana
imo	Imbongu
ime	Imeraguen
imn	Imonda
imr	Imroing
abx	Inabaknon
mzu	Inapang
inp	I?apari
smn	Inari Sami
ins	Indian Sign Language
idb	Indo-Portuguese
id	Indonesian
bdl	Indonesian Bajau
inl	Indonesian Sign Language
idr	Indri
mvy	Indus Kohistani
xiv	Indus Valley Language
oin	Inebu One
inz	Inese?o
inb	Inga
izh	Ingrian
inh	Ingush
iti	Inlaod Itneg
ino	Inoke-Yate
loc	Inonhan
ior	Inor
nkf	Inpui Naga
ia	Interlingua
ie	Interlingue
ils	International Sign
int	Intha
iu	Inuktitut
ik	Inupiak
azm	Ipalapa Amuzgo
ipo	Ipiko
ipi	Ipili
ass	Ipulo
iqu	Iquito
irr	Ir
irn	Ir?ntxe
ill	Iranun
acm	Iraqi Arabic
irk	Iraqw
irh	Irarutu
iry	Iraya
ire	Iresim
bto	Iriga Bicolano
iri	Irigwe
ga	Irish
isg	Irish Sign Language
iru	Irula
isa	Isabi
tts	Isan
isn	Isanzu
agk	Isarog Agta
isc	Isconahua
igo	Isebe
its	Isekiri
isk	Ishkashimi
inn	Isinai
srl	Isirawa
crb	Island Carib
icr	Islander Creole English
isd	Isnag
iso	Isoko
isr	Israeli Sign Language
mir	Isthmus Mixe
zai	Isthmus Zapotec
nhk	Isthmus-Cosoleacaque Nahuatl
nhx	Isthmus-Mecayapan Nahuatl
nhp	Isthmus-Pajapan Nahuatl
ist	Istriot
ruo	Istro-Romanian
isu	Isu
szv	Isubu
it	Italian
ise	Italian Sign Language
itv	Itawit
itl	Itelmen
ite	Itene
itr	Iteri
itx	Itik
itw	Ito
ito	Itonama
itm	Itu Mbon Uzo
mce	Itundujia Mixtec
itz	Itz?
ium	Iu Mien
ivv	Ivatan
ibd	Iwaidja
kbm	Iwal
iwm	Iwam
iwo	Iwur
ixc	Ixcatec
mzi	Ixcatl?n Mazatec
ixl	Ixil
vmj	Ixtayutla Mixtec
otz	Ixtenco Otomi
iya	Iyayu
uiv	Iyive
nca	Iyo
crq	Iyo'wujwa Chorote
crt	Iyojwa'ja Chorote
izr	Izere
izz	Izi
izi	Izi-Ezaa-Ikwo-Mgbo
ijc	Izon
cbo	Izora
jae	Jabem
jbt	Jabut?
jda	Jad
jdg	Jadgali
jah	Jah Hut
jad	Jahanka
awv	Jair Awyu
jac	Jakaltek
jat	Jakati
jak	Jakun
maj	Jalapa De D?az Mazatec
bxl	Jalkunan
jcs	Jamaican Country Sign Language
jam	Jamaican Creole
jls	Jamaican Sign Language
jaa	Jamamad?
jax	Jambi Malay
mxt	Jamiltepec Mixtec
djm	Jamsay Dogon
jnd	Jandavra
djo	Jangkang
jna	Jangshung
jni	Janji
ja	Japanese
jsl	Japanese Sign Language
jru	Japrer?a
jqr	Jaqaru
jaf	Jara
jra	Jarai
anq	Jarawa
ddj	Jaru
jns	Jaunsari
jv	Javanese
jvd	Javindo
jaz	Jawe
jyy	Jaya
jeb	Jebero
jeh	Jeh
jhi	Jehai
qfa-kor-jjm	Jeju
tow	Jemez
bze	Jenaama Bozo
jeg	Jeng
xuj	Jennu Kurumba
jer	Jere
jek	Jeri Kuo
roa-jer	J?rriais
gmw-jdt	Jersey Dutch
akj	Jeru
jee	Jerung
jhs	Jhankot Sign Language
jio	Jiamao
jya	Jiarong
juo	Jiba
jib	Jibu
apj	Jicarilla
jii	Jiiddu
jie	Jilbe
jil	Jilim
jmi	Jimi
jim	Jimjimen
cjy	Jin
jia	Jina
kac	Jingpho
jig	Jingulu
pnu	Jiongnai Bunu
jul	Jirel
jrr	Jiru
jit	Jita
kaj	Jju
job	Joba
jbr	Jofotek-Bromnya
dyo	Jola-Fonyi
csk	Jola-Kasa
jeu	Jonkor Bourmataguil
jor	Jor?
jos	Jordanian Sign Language
jrt	Jorto
jow	Jowulu
juu	Ju
jun	Juang
pga	Juba Arabic
jrb	Judeo-Arabic
jbe	Judeo-Berber
jge	Judeo-Georgian
yhd	Judeo-Iraqi Arabic
itk	Judeo-Italian
aju	Judeo-Moroccan Arabic
jpr	Judeo-Persian
jdt	Judeo-Tat
yud	Judeo-Tripolitanian Arabic
ajt	Judeo-Tunisian Arabic
jye	Judeo-Yemeni Arabic
jbu	Jukun Takum
jua	J?ma
jum	Jumjum
jus	Jumla Sign Language
jml	Jumli
inj	Jungle Inga
mxq	Juquila Mixe
bex	Jur Modo
juy	Juray
juc	Jurchen
jur	Jur?na
jut	Jutish
mwb	Juwal
vmc	Juxtlahuaca Mixtec
ktz	Ju?'hoan
jwi	Jwira-Pepesa
quc	K'iche'
xku	Kaamba
ldl	Kaan
ckn	Kaang Chin
gna	Kaansa
uks	Kaapor Sign Language
ksp	Kaba
kvf	Kabalai
kbd	Kabardian
xkp	Kabatei
lap	Kabba-Laka
xbx	Kabix?
kbp	Kabiy?
klz	Kabola
onk	Kabore One
lkb	Kabras
uka	Kaburi
kbu	Kabutra
kea	Kabuverdianu
cwa	Kabwa
kcw	Kabwari
kab	Kabyle
kcx	Kachama-Ganjule
xac	Kachari
kfr	Kachchi
gjk	Kachi Koli
koe	Kacipo-Balesi
xkk	Kaco'
kzd	Kadai
kej	Kadar
kad	Kadara
kdu	Kadaru
kbc	Kadiw?u
kdv	Kado
xtc	Kadugli
ktp	Kaduo
kbr	Kafa
kpu	Kafoa
kll	Kagan Kalagan
syw	Kagate
cgc	Kagayanen
kdm	Kagoma
xkg	Kagoro
kki	Kagulu
hka	Kahe
agw	Kahua
kct	Kaian
kzb	Kaibobo
kzp	Kaidipang
kbw	Kaiep
kep	Kaikadi
kzq	Kaike
kkq	Kaiku
xai	Kaimb?
zka	Kaimbulawa
kgp	Kaingang
ckr	Kairak
kxa	Kairiru
krd	Kairui-Midiki
kzm	Kais
kce	Kaivi
kgk	Kaiw?
tcq	Kaiy
ckq	Kajakse
xkj	Kajali
kag	Kajaman
kqf	Kakabai
kke	Kakabe
kka	Kakanda
kbf	Kakauhua
tbd	Kaki Ae
kxe	Kakihum
kkj	Kako
keo	Kakwa
kcl	Kala
mwp	Kala Lagaw Ya
lkm	Kalaamaya
kve	Kalabakan
ijn	Kalabari
kzz	Kalabra
kqe	Kalagan
kkf	Kalaktang Monpa
kmh	Kalam
gwc	Kalami
knz	Kalams?
wkl	Kalanadi
kck	Kalanga
kly	Kalao
kyl	Kalapuya
kba	Kalarko
kls	Kalasha
kln	Kalenjin
ktg	Kalkatungu
xka	Kalkoti
xal	Kalmyk
rmf	Kalo Finnish Romani
ywa	Kalou
bco	Kaluli
kli	Kalumpang
kdx	Kam
vkm	Kamakan
woi	Kamang
kbq	Kamano
kci	Kamantan
keq	Kamar
jmr	Kamara
kzx	Kamarian
kgx	Kamaru
klp	Kamasa
kms	Kamasau
xas	Kamassian
kyk	Kamayo
kay	Kamayur?
kam	Kamba
ktb	Kambaata
kyy	Kambaira
xbr	Kambera
kbv	Kamberataro
irx	Kamberau
xbw	Kambiw?
kmi	Kami
kcq	Kamo
kgq	Kamoro
rkt	Kamta
xmu	Kamu
xla	Kamula
xvi	Kamviri
hig	Kamwe
xnb	Kanakanabu
kna	Kanakuru
knm	Kanamari
xns	Kanashi
